"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Funding Fee","Transaction Fee","Transaction Fee(BNB)","Opened","Closed","Status"
"MATICUSDT","Cross","Short","0.53690000","0.53620000","90.00000000","90.00000000","0.06300000","0E-8","-0.00966420","0E-8","2024-07-15 09:56:52.888","2024-07-15 10:45:26.964","Closed"
"MATICUSDT","Cross","Long","0.53710000","0.53700000","90.00000000","90.00000000","-0.00899999","0E-8","-0.00966780","0E-8","2024-07-15 09:45:23.789","2024-07-15 09:52:13.146","Closed"
"MATICUSDT","Cross","Short","0.53990000","0.54100000","11.00000000","11.00000000","-0.01210000","0E-8","-0.00118778","0E-8","2024-07-15 06:48:06.130","2024-07-15 06:50:36.456","Closed"
"MATICUSDT","Cross","Short","0.53220000","0.53340000","11.00000000","11.00000000","-0.01320000","0E-8","-0.00292710","0E-8","2024-07-14 22:00:18.707","2024-07-14 22:03:46.892","Closed"
"MATICUSDT","Cross","Short","0.52790000","0.52610000","11.00000000","11.00000000","0.01980000","0E-8","-0.00290345","0E-8","2024-07-14 21:30:13.174","2024-07-14 21:36:27.960","Closed"
"MATICUSDT","Cross","Long","0.52230000","0.52630000","11.00000000","11.00000000","0.04400000","0E-8","-0.00404370","0E-8","2024-07-14 19:40:32.911","2024-07-14 21:23:36.479","Closed"
"MATICUSDT","Cross","Short","0.52650000","0.51830000","11.00000000","11.00000000","0.09020000","0E-8","-0.00289575","0E-8","2024-07-14 10:12:43.662","2024-07-14 13:36:53.481","Closed"
"MATICUSDT","Cross","Long","0.52950000","0.52840000","11.00000000","11.00000000","-0.01210000","0E-8","-0.00116490","0E-8","2024-07-14 05:01:47.291","2024-07-14 06:53:09.793","Closed"
"MATICUSDT","Cross","Short","0.52830000","0.53180000","11.00000000","11.00000000","-0.03850000","0E-8","-0.00290565","0E-8","2024-07-14 02:18:43.176","2024-07-14 04:22:17.531","Closed"
"MATICUSDT","Cross","Short","0.51920000","0.52040000","75.00000000","75.00000000","-0.09000000","0E-8","-0.00778800","0E-8","2024-07-13 15:47:32.980","2024-07-13 15:53:03.137","Closed"
"MATICUSDT","Cross","Long","0.51640000","0.51840000","11.00000000","11.00000000","0.02200000","0E-8","-0.00284020","0E-8","2024-07-13 14:45:20.349","2024-07-13 15:19:57.795","Closed"
"MATICUSDT","Cross","Short","0.51190000","0.51310000","75.00000000","75.00000000","-0.09000000","0E-8","-0.01919625","0E-8","2024-07-13 06:02:52.752","2024-07-13 06:27:36.639","Closed"
"MATICUSDT","Cross","Short","0.51040000","0.51160000","75.00000000","75.00000000","-0.09000000","0E-8","-0.00765600","0E-8","2024-07-13 05:30:43.240","2024-07-13 05:38:41.409","Closed"
"MATICUSDT","Cross","Short","0.50700000","0.50780000","11.00000000","11.00000000","-0.00880000","0E-8","-0.00111539","0E-8","2024-07-13 04:46:09.391","2024-07-13 05:06:32.140","Closed"
"MATICUSDT","Cross","Short","0.50560000","0.50680000","11.00000000","11.00000000","-0.01320000","0E-8","-0.00111232","0E-8","2024-07-13 02:15:46.249","2024-07-13 02:44:36.414","Closed"
"MATICUSDT","Cross","Long","0.50580000","0.50770000","11.00000000","11.00000000","0.02090000","-0.00055770","0E-8","0E-8","2024-07-12 22:45:15.308","2024-07-13 01:11:26.015","Closed"
"MATICUSDT","Cross","Long","0.50540000","0.50470000","11.00000000","11.00000000","-0.00769999","0E-8","-0.00277970","0E-8","2024-07-12 21:15:19.038","2024-07-12 21:17:23.089","Closed"
"MATICUSDT","Cross","Short","0.50410000","0.50160000","11.00000000","11.00000000","0.02750000","0E-8","-0.00277255","0E-8","2024-07-12 20:00:08.737","2024-07-12 20:19:55.687","Closed"
"MATICUSDT","Cross","Long","0.50710000","0.50690000","75.00000000","75.00000000","-0.01500000","0E-8","-0.01901624","0E-8","2024-07-12 19:12:46.647","2024-07-12 19:13:00.245","Closed"
"MATICUSDT","Cross","Short","0.50880000","0.50740000","75.00000000","75.00000000","0.10500000","0E-8","-0.00763200","0E-8","2024-07-12 18:45:30.182","2024-07-12 19:11:38.674","Closed"
"MATICUSDT","Cross","Short","0.50470000","0.50270000","75.00000000","75.00000000","0.15000000","0E-8","-0.00757050","0E-8","2024-07-12 14:00:12.389","2024-07-12 14:23:06.226","Closed"
"MATICUSDT","Cross","Long","0.49730000","0.49630000","11.00000000","11.00000000","-0.01100000","0E-8","-0.00273515","0E-8","2024-07-12 11:30:14.875","2024-07-12 11:32:20.604","Closed"
"MATICUSDT","Cross","Long","0.49440000","0.49620000","75.00000000","75.00000000","0.13500000","0E-8","-0.00741600","0E-8","2024-07-12 10:00:08.826","2024-07-12 10:06:09.981","Closed"
"MATICUSDT","Cross","Long","0.49850000","0.49700000","11.00000000","11.00000000","-0.01650000","0E-8","-0.00274175","0E-8","2024-07-12 08:50:21.869","2024-07-12 09:11:56.086","Closed"
"MATICUSDT","Cross","Long","0.49950000","0.49770000","11.00000000","11.00000000","-0.01980000","0E-8","-0.00274725","0E-8","2024-07-12 07:06:22.696","2024-07-12 07:20:20.427","Closed"
"MATICUSDT","Cross","Long","0.49920000","0.49780000","11.00000000","11.00000000","-0.01540000","0E-8","-0.00109823","0E-8","2024-07-12 06:26:48.820","2024-07-12 06:53:48.490","Closed"
